date,StockCode,open,high,low,close,volume,Type,Title,PublishTime,URL,Head,Content,ArticleID,Page
2025-07-04,BID,36.05,36.3,35.9,36.15,3911085,Tin mới nhất,BID: CBTT thay đổi địa chỉ trụ sở các chi nhánh,2025-07-04 17:59:37,/2025/07/bid-cbtt-thay-doi-dia-chi-tru-so-cac-chi-nhanh-737-1325246.htm,,,1325246.0,39.0
2025-07-04,BID,36.05,36.3,35.9,36.15,3911085,Kết quả - Kế hoạch kinh doanh,BID: CBTT thay đổi địa chỉ trụ sở các chi nhánh,2025-07-04 17:59:37,/2025/07/bid-cbtt-thay-doi-dia-chi-tru-so-cac-chi-nhanh-737-1325246.htm,,,1325246.0,9.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12501 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12501-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325686.htm,,,1325686.0,37.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12502 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12502-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325687.htm,,,1325687.0,37.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12503 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12503-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325689.htm,,,1325689.0,37.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12504 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12504-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325690.htm,,,1325690.0,38.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12505 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12505-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325691.htm,,,1325691.0,38.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12508 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12508-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325692.htm,,,1325692.0,38.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12506 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12506-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325694.htm,,,1325694.0,38.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12507 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12507-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325695.htm,,,1325695.0,38.0
